name,start,title,review
Utkarsh,1.0 out of 5 stars,Good for nothing (highly inaccurate data and slow screen),"Extremely poor product.Sleep tracker is way off and very less data on your sleep pattern (Honor band does a way better job and high on accuracy).Pedometer is a joke, even if you wave your hand while sitting it will increase your step count.Screen is of low resolution and less responsive and takes 2-3 seconds to wake up after a gesture move.Wouldn't recommend anyone to buy."
G.S.Tawarmalani,1.0 out of 5 stars,Update insisted upon frequently destroyedb the product and it is now not workung,"I bought this watch in May 2020. I was consistently being told to update the NOISE Sports fit app for better experience, I kept on skipping this suggestion. With consistent suggestion, I tried to update today and the device went to permanent up gradation status and is not now usable even for BLUETOOTH connectivity!G S TAWARMALANIA-321 SHIVALIK, Near Malviya N agar New Delhi 110017Mobile 9810173 681 - 9969660091Further I have to state that the device is not working now. The warranty was of one year from the date of purchase. But the deice started giving trouble within 4months with varying screen display and then-followed by no hjeart rate display, A few days later the device stopped working. Kindly indicate as to how do I return the device to claim warranty action. Kindly inform me immediatelyHo,prioress. It appears that no action is taken. THERE is no contact number of seller; Earlier there USED TO ME A link on AMAZON site for communication with seller.. i understand that this seller used to be your close associate1 I do not know why you are also not able to contact and resolve. The product is useless consequent to up gradation provided by seller on the understanding that it will improve the experience, Pity. What an I to do with the useless product now? I am almost 82 tears old and cannot run here and there, I purchased the device to assist me in daily health fitnessexercise (Warranty declared at the purchase time was p5obably fraudulent!"
Priyanka,1.0 out of 5 stars,"Poor quality, touch non functional in 3 days","Gifted it for Diwali, but to my embarrassment its touchscreen became non functional within three days of purchase, moreover the refund request is still not processed inspite of no question asked promise by Amazon. Instead now noise has inserted a layer of mandatory truoble shooting, which actually is not possible for a gifted item.This is sheer harrasment and fraud. The pick of product for return wasn't done on time and hence now we are stuck with our money with the manufacturer. Please don't go ahead with this purchase."
Anu Amirtharaj,2.0 out of 5 stars,"It's a Budget watch but very limited options,, so think","ouch screen, sleep tracking is good.The watch is attractive sauve and with good display.color options of the watch is very appealing.Basic options like alarm, sleep tracking, saturation, pulse, step count is availble. But some upgrade know below points would be appreciable.It's a Budget watch and so with limited options which are acceprable. But please understand the watch doesn't have the option to attend the call or view the messages. I believe this can't be compromised. Back swipe and forward action is a hassle. The update face option is good but disabling and enabling is tedious job. I accidentally disabled option for choosing other photo and now unable to choose or have various option for changing the screen display.. Not very user friendly. I would definitely recommend to read the review before ordering this model. I would have prefer going for a upgraded version had I known of the limited option. So to sum up,, if you wanna gift someone but give them limited privileges -- this is the watch."
Piyush Batra,1.0 out of 5 stars,Not worth it...,"It looks like you are wearing a cheap quality product and also not worth spending 3500 on this smartwatch. U won't get anything which is actually a useful , this is only like a baby doll digital watch with 2nd standard children's wear. I'm using Amazfit and it has a far better quality of outer and display. Dial size is 1.3"" and inter screen is not even the size of 1"". U can imagine the real experience could be. My suggestion is NO."
venkat,3.0 out of 5 stars,Beginner's smartwatch,"My first smartwatch experience and after two days of usage,Blood Oxygen level: it measures only on click. It wasn't tracking oxy level automatically. However it is helpful.Sleep monitor: either sleep start time or wake up time was not accurate. Other data are interestingStep/distance count: it adding step count to account even I'm sitting in a place. Don't know how it works.Heart beat rate: We know based on activity how our heart beat will be, it shows those heart beat rate in number (BPM). In auto mode it measuring periodically to keep in record. Atleast blood pressure data helps to track health but I don't have idea about the use of heart beat rate data.Sports modes: tracking all above parameters for all modes. Sport mode Exit option is not clear.Thanks for the price, no regret.Product accuracy is not sure and it's is just a tracking device so let's not take it serious. Generally we should have healthy lifestyle."
Abinash,1.0 out of 5 stars,This is pathetic X 1000 product!!,Nothing is working in this product!App is not able to sign up using OTP. OTP itself not came!!Updating is taking 30 minutes and after updating the watch immediately you can update once again and once again and once again 😂 always there will be an update available!!Useless watch face available and you can't transfer them to the watch!!I Put it for charge for 15 minutes 1% reduced 🤔Oxygen and pulse is not working at all!!How the hell they mention it's No 1 brand in smart watch!!
Sumedha,4.0 out of 5 stars,I personally love this Smartwatch.,"This is a budget smartwatch.It has good features for this price range.After pairing this with the Noise Fit app, I get all the notifications and updates.Sleep monitoring is interesting.I personally love this smartwatch!Good going NOISE!"
Munwar Shariff,1.0 out of 5 stars,Android App is horrible,I have android phone and installed the App from Google play store. There is no screen (watch face) which matches the image which is shown for this product. Also there are no good options for watch faces. The App runs all the time (taking up my phone resources). Tried reaching out to Manufacturer. Amazon is kind enough to provide me the REFUND. Thanks to Amazon for supporting the loyal customers.
Customer,4.0 out of 5 stars,Good Product,"I have been using this for more than 2 months and my observation is that the sleep tracking is not working properly coz i get the same time record everyday..other trackers are doing good...walking, sport mode, heart rate, blood oxygen..About the mobile app...it gets disconneted oftn and its being a big job to get that connected everytime.....Over all good one...Can buy it..."
amrapali,1.0 out of 5 stars,Worst watch,Worst of the worst product ...just fooled by Amazon and noise company ...lost 3.5k bucks ....not even returning the products and there is no response from customer care also ....cursing myself for choosing such an worst company and such an worst app to buy the smart watch
Krishna kandregula,3.0 out of 5 stars,It Could Be The Best...,"A Mixed Reaction!!Watch quality is good and it exactly replicates the Apple Watch series 4 and the design is awesome also it is packed with lots of features and the display is superb (like AMOLED) but the software needs to be updated, the lift to wake up option sucks. The watch doesn't count our steps sometimes and it over count some time s but these all are of software issue and if it is fixed then it is a true ""beast "" in its segment . Overall for now it's been 3months and I'm satisfied with the features at this price."
Tanu Singhal,1.0 out of 5 stars,iOS app is missing from App Store,I received my ColorFit Pro 2 smart watch today and it can’t be connected with iOS. What the heck!App is missing from app store. Only android app is available. Without app it’s just a toy without sync. Even time displayed is incorrect.I called customer care of Noise and they informed that there is some technical glitch in iOS app and might take 24-48 hours.Are we living in a Stone Age where resolving technical glitch takes ages.Highly disappointed. Might return it back.Amazon delivery was superb. My trusted shopping portal
Tanveer Singh,1.0 out of 5 stars,Terrible product,"I had a harrowing experience with this product. Its terrible in every way. I also bought a Colourfit2 wrist band and the experience was just as bad. The wrist watch does not support cycling, it just does not register the miles. Their Customer Service is also bad it asks for so many details to just log a complaint. Buy this product only if you have time and money to waste not spare."
parameswaran,2.0 out of 5 stars,So So watch,"Stopped working the first day itself.Got it replaced by Amazon,thumps up for the quick action.Overall the quality is ok for 1900 Rs.Its unable to go back to the main menu by swiping simply when you open step tracker etc.display not so good.Bought it for use as a fitness band ,but better to by a band only ,if that's your need.If planning to buy a smartwatch go for higher models."
kalyani,1.0 out of 5 stars,Fake watch,"Pathetic experience, trust me don’t ever waste your money on this waste product, such a useless, they don’t have proper app for iOS & watch doesn’t sync to the app, crashes every time I set alarm, der is no option to set reminders, doesn’t notify messages.I truly don’t understand how come this product so good ratings.I made a mistake buying dis watch on basis of Amazon rating. Fake watch"
RAVI ,1.0 out of 5 stars,Now Very Bad product Not buy this and worst money,I bought this band seeing the features..now i regret why i have purchased..i want to shift back to MI fit which is the best band in affordable price and it worth it..i have attached pics..pls take a look.. before midnight 12 it is showing as goal completed 10k steps..after 12 it is showing that my step count is ZERO..app never syncs the data..we have to manually sync the data else it won't detect..even detected with errors..if you are seriously a fitness freak or if you want to loose weight by making 10k steps daily..PLEASE STAY AWAY FROM THIS PRODUCT..DON'T BUY THIS AND REGRET LIKE ME..WORST PRODUCT..IT IS TRUE THAT ALL GLITTER ARE NOT GOLD..I HAVE CONTACTED THEIR SUPPORT..ESCALATING THE ISSUE..NO PROPER RESPONSE..NO UPDATES TO THE APP..FEMALE MENSTRUAL CYCLE DATA IS WORST PART..I CALCULATE FAR BETTER THAN THE APP
Ruchi,3.0 out of 5 stars,"Okish watch. Very limited features, colour is good","The media could not be loaded.  The colour and appearance is good, features are very limited because of which I was thinking of returning the watch and look for another one. It was mentioned at the time of purchase that I can return this product in 7 days but when I tried to return and asked for refund it was refused and said that only replacement is available you can only replace and get the exact same watch in return."
Arus Chandran,5.0 out of 5 stars,Only for Mobile Notifications & Time,"The watch is beautiful and well sized for small wrist. Medical trackers are useless and I purchased this just for mobile alerts while I drive and on meetings. So, the Heart Rate sensors and other sensors if any, is always off which gives me a battery backup of 15 days. No complaints, touch is not smooth but can ignore. For this price, it is a good notification device."
Mangal singh,1.0 out of 5 stars,This product is just a toy for kids so don't buy this product for tracking the physical activity.,"This product look like a toy which is given by parents to their kids. This product doesn't give any single information in accurate manner like Physical activity distance measurements, heart rate monitoring, steps count and other activities which for they have made this product. Even my some other mobile app is showing some accurate results like step count, distance measurements calories burnt etc.This watch is measuring heart rate , step count, even after removing the watch from wrist for 4, 5 hr. Bluetooth connectivity is very very low even if mobile (This products app) app is running but distance is around 1 to 2 meter then it's disconnect from phone.1. Sleep tracking is very very low.2. Accuracy- Don't say anything about accuracy . It's doesn't give even a single activity in accurate manner. It's disappointed me😭😭 (I bought this product only for tacking the physical activity but it's disappointed me)3, Touch screen is not that much good what they have give in specifications.So overall I will give rating for this product in between 0 to 1. Not more then 1 out of 5.So I recommend you to don't by this product. It's useless. Waste of money.( This review is based on 5 days uses from delevery date)"
Dilower H.,5.0 out of 5 stars,Excellent product,"Best start watch in this price range so after usage of 20days here are few things you need to know.1.Accurate calculations of Sleep tracking,BPM,Steps etc2.Water resistant3.Size is perfect ,battery from 100% to 5% in 9days4.Notifications from phone is visible but you need to download Noisefit sport and enable notifications as per your choice - incoming call ,what's app,telegram ,messages etc5.Screen protector - buy it from Amazon ""FCS ultrathin 0.125 mm anti shock flexible smart watch screen protector for noise colourfit pro 2 "" works amazing"
Amazon Customer,4.0 out of 5 stars,Good watch but it counts steps even when u r traveling,"Watch is good , but app is the issue , it didn't synch with Google fit app . It's own app doesn't work properly . Only watch is good. But it'll count steps even when m traveling somewhere so I have to switch off it when I am traveling and then again on it back when I am walking . So I'll give 3.5 stars . Touch is good . I can control music as well ,which is good"
Sanket R Patel,5.0 out of 5 stars,Perfect watch,This watch is good in this price range.
Bhavya vyas,2.0 out of 5 stars,Not Recommended buy.,.I bought this for someone else who did not like it. Average. Light display is disturbing specially at night while sleeping it ligts up and destroys sleep .Steps tracking is average. I found mi band better at tracking and giving me a preview.The display seems good however swiping movements are not user friendly.A little disappointed as mi band was better than noise fit. Have been using this watch for 6 months now. Ready to trade it in
Vaseem Baig,2.0 out of 5 stars,"If you want for looks, Sure go for it.","Sync with noisefit app is totally blunder. Watch show some stats and app shows another. If a whole day you don't connect with phone, the app skip that day's data.Touch works sometime slow. Only look wise good product."
Sarah,5.0 out of 5 stars,Good one,"It was a gift for my husband and he loved it. He wears it everyday without fail. The only problem is the mobile app which has connectivity issues. Apart from that, it's worth it.The customizable watchface is something I love personally."
Amazon Customer,1.0 out of 5 stars,My one of the Worst purchase from Flipkart.,My one of the Worst purchase from Flipkart even after complete notification problem is nowhere tobe solve. How can i used smartwatch if i can't even connect that properly with Realme 3 Pro and bluetooth connectivity is even worth than that. Whenever i try to connect with my Realme 3 Pro it's say error item 144 device can't pair what the hell meaning of that. All this problem i face are after replacing previous product. So i strongly suggest that doesn't ever think about purchasing this smartwatch device.
kirankumar,5.0 out of 5 stars,Good,"After using for 20 days, i am here to write a review. This product is well packed and user manual is good. You cant connect with your smartphone directly with bluetooth. You need to download noisefit app for that and need to connect your watch. Connectivity is good. Fraction of seconds delay on notification. Display is good, feel is good. Looks is very good. SNS, like whats app, msg, facebook and other app notification you can see only. You can see the first line of each notification, but cant enter into the msg. To read the msg you need to use your phone(unless the msg is one liner).Heart rate monitor is closely correct. Step count is good. Sports mode is great. Real count of a cumulative of 3 steps. Alarm works well. Truly water proof(follow the IP68 standard). Dont use in salt water, it can damage.My usage is very high and still i get 4 days battery back up. Its pretty good."
nirav patel,2.0 out of 5 stars,Its a hyped fitness tracker. .... please dont call it a smart watch,"The features of this watch are minimal. You cannot track workouts or activities other than basic walking cycling and running. Since this does not have an inbuilt GPS I thought I would use the noise fit app to track the location while cycling. The app does not provide any such tracking. i tried searching for the same but could not find anything online. There are different versions of the app. noise fit noise fit sport ..both didnt have any gps things or atleast i could not find one after hours of tinkering with the app and searching their official website.The worst part is that there is no sync between the app and the watch. If you start an activity on phone with your watch connected., it is not tracked.If you are planning to buy fitness tracker, its better to go for mi bands.. they are cheap and give good functionality. This just has a fancy display but rest its just a fitness tracker. Callign is smart watch is wrong"
abhi,1.0 out of 5 stars,DONT BUY IT,"when an activity is tracking it is resetting itself randomly, and my step goal is also changing as its wish, you can t depend on itThe sleep tracking is a big waste I guessdevice and phn are not synced if I unpair and pair for some hanging reason it automatically rests everything and the phone shows one count and the device shows zero.DONT BUY IT DONT BUY IT DONT BUY IT DONT BUY IT DONT BUY IT DONT BUY IT DONT BUY ITDONT BUY IT DONT BUY IT DONT BUY IT DONT BUY IT DONT BUY IT DONT BUY IT DONT BUY IT DONT BUY IT"
Debanik,2.0 out of 5 stars,No Call Notification,"I bought this watch for call notification, rest features were just bonus for me, and on this watch call notification doesn't work!! Tried multiple smartphones, every setting tweaks, kept the noise app locked in RAM, nothing worked. For the rest of the features, i have no idea , oh one more thing, the UI adverrised is not the same on the watch! Returned this watch coz of false advertising (No Call Notification). Amazon is awesome for quick help!"
Amit kabadi,5.0 out of 5 stars,noise Colour fit pro 2. Go for it guys. Awesome product,"If u consider pricing , it is not possible to get any branded smartwatch in that price range. There are similar smartwatches are available on net with more features but nobody assures you warranty and one cannot say features which they promise will actually work once u receive the product. Gone through detailing of this product, and yes I feel one of the best product in the market."
rajeev singh,2.0 out of 5 stars,Pathetic Bluetooth pairing.,The media could not be loaded.  Every thing is ok exept Bluetooth connection. Watch is disconnected each and every time.And it does not connect automatically have to search through app every time which is very irritating.
Santhosh.G Acharya,1.0 out of 5 stars,Waste of money on this worthless device in my perspective..,To hell with this. Only its curve edge looks are the main attraction. Other than that its tottaly a pack of nonsence for an excess price. This does not satisfy any needs of any gentlemen in its features. Its a famine favourable device with a big display... Totall waste of my money on this battery crap device..
God of undead,3.0 out of 5 stars,Need more improvement,added/edited comments - received the replacement watch and it's battery is much better now. Still Mi Band has much better functionalities and better UI APP. Sleep tracking is poor and the afternoon nap is not considered separately (it counts with the night sleep). Notification alerts not working properly. Need serious attention with the app. It will be good to show weather updates in the watch. Find my phone option make the phone vibrate but no sound. Other smart watches with lower cost have better functionalities.
Aakash Desai,1.0 out of 5 stars,A worst product I have ever bought in my life!,"Not recommended to buy. A total waste of money. Apps are not developed upto the mark. Only replacement policy and no return policy on this product. Sleep tracking is not working, accuracy is at lowest, settings got automatically changed, auto sync is not available, connectivity with App is terrible, notifications of only few apps can be seen on watch, no manual app addition for notification can be done. If noise will refund then I would straight away like to return this product!Just 1 star for straps otherwise nothing to be rated!"
Madhuri,5.0 out of 5 stars,Good,"It has all the features like sports mode, sleep tracking, music control etc, the build I feel is very similar to Apple Watch, nice price point, has sleep tracking and menstrual tracking too. Has different watch faces, instead of spending 35k-55k for an Apple Watch you can get a dupe like the noise one for a very lesser price and still can almost enjoy all the features."
Anand,3.0 out of 5 stars,"It's a budget smartwatch but upon comparison with Amazfit, the latter is a sure winner.","This is the third smartwatch I purchased in the family (first two were Amazfit BioU and BIPU pro). Upon comparison, this one is lagging behind due to these reasons:- Sleep tracking lacks REM- sleep tracking time shows inaccuracy- no GPS- not fully waterproof (can't take it to the pool)PROS- Slightly bigger screen- Was slightly cheaper when I purchasedI would surely vote for Amazfit in this price range"
Lakshmi K Iyer,5.0 out of 5 stars,ITS A MUST HAVE!!!!!!!!!!,"I always wanted to have a fitbit. This is really awesome with very good touch screen and has various facilities covered under one lense. It can detect your walking, running, jogging speed, keep a tracke of your heart rate, it has built in phone finder so it will help you find your phone if you pair the phone with fitbit using bluetooth. You can also set alarm like in mobile. It's very very useful. You also can set for call, messages, watsapp, fb and many more alerts. It also has a seperate tab for female health and periods tracker which keeps track of your periods and keeps you updated. This tiny mint device has 100 times more than what I had expected and hence it's worth the money.Charging the device is very easy.Battery life is for 7 days even if you use it every day.You can customise the watch face as per your convenience.It's a superb gadget."
Aniket,5.0 out of 5 stars,Classy Stylish Value for Money Good Product,"Writing this review after 15 days of Usage.1. Battery still remaining 12% after 13 days2. Add any number of watch faces you want to.3. Gets Paired very easily ( Im using Google Pixel 2XL)4. Display screen is good and looks are very decent just like a VW i.e Classy.People here have mentioned the above points repeatedly about these issue I have faced none of it. Before buying I have seen option like Skagen , Fossil , Titan and many more around the range of 12k coz the other like garmin and Samsungs and apple was way too costly.If you want a nice decent classy smart watch just go for it you will not repent . After seeing my watch in my office 2 of them have already purchased it."
ajay m v,4.0 out of 5 stars,2 Weeks Usage Review,"Good watch for health and fitness as of for cost range we expect more quality, as per 2weeks usage nice watch, it shows Bluetooth music connected but does not shows which song is playing, shows who is calling but unable to receive their call but only able to decline or quick replay, pedometer is bit good and accurate, sleeping tracker not as much accurate, battery life is good 9-10days, but the sad thing is there is no good collection of watch faces, only on the festival offer 1.7k is a good deal for the watch as per features & built quality."
Bajoriavinayak ,1.0 out of 5 stars,Worst Watch ever,"Even for a Chinese product, this is garbage. The calorie burn tracker will give you different readings by a difference of 1000 for the same rate of an outdoor workout. There is no indoor workout support like boxing, cardio. The app will never be able to sync with the watch. So basically it's useless after 1 day. I should have gone with the Apple watch. Chinese maybe able to colonise Africa with their debt trap but I have learned lesson for life."
KULBHUSHAN,1.0 out of 5 stars,Very bad experience! Waste of money.,"I ordered this watch. It was not reliable as it got reset on its own within one week and all previous data got lost .On replacement with the new one, the second one worked fine for 1 week. On 8th day itself, that too stopped working completely and now it's dead. Have put it up for replacement under warranty which will take time. My sister also purchased the same watch which worked fine for 3 weeks, then pairing issues occurred and the application is still not working properly even after reinstalling it multiple times. Highly disappointed."
yogesh pant,1.0 out of 5 stars,WROST PRODUCT,"If you reading / looking at the positive reviews and buy it, well you have got the worst product of your lifetime. Don't waste your hard earned money on this crap product, i must say just stay away, buy Hawaii, MI, SAMSUNG BANDS INSTEAD....This watch have Bluetooth connectivity issues and disconnects automatically even if your phone in your pocket.....STAY AWAY FROM THIS PRODUCT....."
Rajesh,5.0 out of 5 stars,Don’t hesitate; Worthy product with cheap cost.,"Compare to costlier smart watches like apple and Samsung its better at ₹3,000.Don’t expect too much. But it satisfy pretty much. If this one is your first smart watch means definitely make you cool at low cost."
Aashik Saji,2.0 out of 5 stars,Defect product,"I got the watch,but there was a line appearing in the display right through the middle so was a detective product i have got. And i chose to replace the product the same day i got it,because i like the watch for it's pretty good design and style,but there was no replacement option and obviously i could only go for refund option. And again i ordered the same product and expect the delivery in a couple days. Kindly make sure that i get good quality product this time with zero defects ."
Amazon Customer,1.0 out of 5 stars,Do not buy. Not up to mark. Not worth the discounted price.,The watch doesn't not have an always on display option and the wrist sensor works very late and is very frustrating.The watch only connects with the companies app and does not have enough features for the price range.The touch screen is non responsive. Poor user interface.The location reporting is inaccurate. It calculated 10km for when I only ran 8km and calculates distance when you're sitting in a car.
Shubham Basu (Bose),1.0 out of 5 stars,Mediocre and disappointing..,Got this for my kid. Battery drains in a few hours. Last night after full charge it showed 7pc in 10 mins. App has a customer care number that doesnt work. It buttons for lodging compliant r useless.Pathetic...20 days later- After raising with the executive team the watch was replaced. The new one is working fine...so far..
Vinod Kaul,1.0 out of 5 stars,Poor product which cannot be returned,The step numbers are very small. We are senior citizens and can only read it with a magnifying glass. The connection with mobile doesn't always work smoothly. The hand flip to light the face doesn't always work. Amazon refused to take it back and only offered replacement which is no good for us.
Deepti Gogia,1.0 out of 5 stars,Absolute waste of money and time,"Terrible experience! The watch doesn't stay connected at all the timesOne gets no notificationsEverytime you have to login to the app, to connect and there also it takes over 3-5 mins to connectThe watch is right next to the phone, and the mesagae displayed is that device not in range,Pls don't but an waste your time and moneyAmazon was kind and extremely helpful in arranging a super quick replacements(less than 24hrs) but the replacement watch was equally terrible"
Ankit Sharma,3.0 out of 5 stars,Purchase if can compromise the functionality,"Experience after 1 month use:-Got this for 2000-Looks good and was easy to connect at the starting.-sleep tracker, SPO2, other metrics capture were quite accurate.After using for 2 weeks:- Plenty of false notifications for calls.- Doesn't wakes on time often while checking the time..- Disconnects from the app and switch off on its own..I don't know what's the problem, but it's frequently getting disconnected from the phone.So, will be claiming the warranty.I start to like the experience of this watch, but then it gets disconnected so can't reccommend for anything.."
Santhosh K,1.0 out of 5 stars,I lost my money 😭 every worst product 😢,"Worst product I'm not using it, because😔- Main issue is connectivity, everytime it will disconnects.- Automatically it should connect to mobile that is not yet all working.- Mi Smart Band is much better then compare to this.- Even I don't about ""Colour fit 3"" how worst it is."
Anurag Phadnis,4.0 out of 5 stars,Decent watch,"Screen size is okay not too big not too small, serves the purpose of watch and tracks pulse rate and blood oxygen, would be better if it also tracked body temperature.Battery life is easily over 1 week, notifications from mobile like SMS and calls are shown on watch which is good thing, but notifications from other apps like whatsapp are not shown on watch, that's okay though.One thing which is missing is support for hindi fonts, all my SMS in hindi are not being parsed by watch, it needs hindi fonts and fonts in other local langauges.It would be better if this was made in India, but currently it is made in china."
Amazon Customer,4.0 out of 5 stars,A good buy. Worth the price.,"For someone looking to buy a SMARTWATCH at a less price and with good features please read my review. It has been one month of daily use and have had no complaints till now. Although I did face some issues syncing the phone and the watch in the initial few days. But a few restarts did the job. All the features work fine. I have also noticed that whenever there is a delayed alert on the watch it is mostly due to network issues or if the phone is away from the watch. The watch is not to be blamed. At times, I get notifications a sec earlier than the phone. The feature of replying back to calls with template msgs is only available in noise watches I think. I also have a Boat xtend and it only has the feature to reject calls.The green colour is actually a dull green colour so unless you are sure about the colour don't buy a green one since you won't have an option to return it only bcos u don't like the colour. However, A FEEDBACK FOR THE MAKERS - THERE IS NO REASON WHY NOISE PULSE should HAVE LESS WATCHFACES THAN YOUR OTHER MODELS. Update your user manual and make it easier for those who are using a SMARTWATCH for the first time. Your user manual does not state anything about how to sync it with the phone to get notifications etc. One has to figure it out on the app with trail and error method. It took me a whole day to sync the phone with the watch and figure out what was going wrong.In the end, No electronic gadget is perfect. If you are looking for something near perfect then buy an Apple watch. Else Noise pulse and similar other models are certainly a good buy."
Incognito ,4.0 out of 5 stars,Worth the price,"It’s a good product for the price. I’m facing one issue though. Every time I get a call on my mobile even after answering the call, watch keeps displaying a Chinese Call Code . Photo attached. This alert keeps displaying on watch and keeps vibrating till I touch cancel on watch. Has anyone faced this issue as it’s quite irritating"
Straight talk,1.0 out of 5 stars,Not worth buying,Takes hours to connect with application.Wrong stats. It shows steps at random. I walked 4000 steps & application showed 5000. And summary missed few days. Cheap product. Other parameters don't work.I asked for return yesterday. They agreed. Today Amazon played a game and says return window was closed yesterday. Shame
Abhishek,1.0 out of 5 stars,Not much functionality and not worth the price...,The app and interface is very poor and needs to be updated. Also the watch faces are very limited and not that good. MI and other brands have better products with much more value for that price point... Please don't purchase products from Noise as they don't offer value and also their products are sub standard in terms of functionality and user experience. Only thing they are relying on are sponsored ads. I feel they don't update an old product that much as well. Also their advertising is very misleading and does not have much in depth details of the product.
Ravi Shankar,1.0 out of 5 stars,Worst product.. don't buy,Worst product .. it doesn't connect with Mobile properly and doesn't update your tracks... My husband bought another watch from same company in which they told it will have gps tracking but from day 1 it isn't working.... We raised a complaint and they took for repair even though the problem exists.. god knows what they have repaired...This is the first ever feedback I am giving ... This product disappointed me in such a way that I am taking time to write all this...
Sd Akram,1.0 out of 5 stars,Pathetic experience,Guys trust me if you want to buy a toy for just hang in your hand then you can go with this watch other wise chose somthing eals bht bkwas watch hai guys replace krne ke bad b samne problem it means sare watch same hai so please don't go with this product just chose somthing eals all what you can do with this watch is just can check time properly other option are just there for showoff
R,1.0 out of 5 stars,"Waste of money, inaccurate readings",Waste of money. Step counts completely inaccurate. Added around 5000-6000 when travelling by car for 50km. Honor band has more features and is accurate. Sleep tracking on this product does not give the indepth analysis that honor band does. In fact the yesterday I removed the noise band and slept today it show I slept 8.5 hours??? Don't know if it was measuring my bed's sleep but if definitely wasn't mine. Obviously it doesn't work.
sai krishna,1.0 out of 5 stars,Bluetooth connectivity problem,"The watch is good but everytime the Bluetooth gets disconnect I need to go to the app everytime for connecting, beside this everything is good. I hope this problem gets resolved as early as possible. The updated version is more worst the app does not even open it goes on buffering for a long time even if the internet connectivity is strong...app functioning is not at all good and the major thing is the Bluetooth connectivity problem.... please try to solve this issue ASAP.."
jayaraj k,3.0 out of 5 stars,Good one but not sure noise compromised on quality,After I purchased device was functioning smoothly for a month and one day suddenly started to flash the screen automatically. Thought might be some jinx. Hence kept for full charge and completely reset the device. It started working for couple of hours as normal then again same issue. Once started pair the device with my mobile then watch display simply flashes. Tried pairing with different mobile too. Same result. Noise had scheduled a return pickup for service and repaired and sent back. But it started same issue again after couple of hours.It might be one of rare cases but servicing took almost more than 15 days first time and returned for second time and yet waiting for the device.I have been using noise product from quite time now. Only this device I faced loft of issues.Thank you
Prashant Sarathe,1.0 out of 5 stars,"The product quality is third class and the app through which it is controlled is ""Tatti""",It is not worthy of 2799/-.....its battery back is just 1 day and as soon as battery level drop to around 85% it stops showing even the time and the screen looks like tv with burnt picture tube.And the worst thing is its noise fit app which will ask you to update it again n again.bluetooth connectivity is very poor..always asking for synchronise the watch. Not a product with this much price...it is worthy of 1000/- rs watch only.Don' buy it...go for a expensive one.
Sushil V Panchal,2.0 out of 5 stars,Do not meet expectations...👎,Product looks nice but not worth it.. I have used MI band since 4 years and would like to see similar features with noisefit in terms of steps accuracy and sleep accuracy but highly disaaponted..1) app needs to sync manually to record steps2) sleep monitor doesn't look accurate.3) heart rate count doent work if turned off automatically (this drains down battery fast)4) device gets disconnect from app frequently.5) Overall AI is okay not so great.Recommendation -Instead of buying NoiseFit watch buy Mi band 4 or 5 of same range..
Amazon Customer,4.0 out of 5 stars,Very basic for its price.,"It's features are limited. It does the basic function of tracking steps and heart beats etc. But it doesn't differentiate between walking and running. Doesn't automatically detect cycling. These are features which google fit automatically detects. Syncing with phone is a little buggy. At times, if the phone syncs with the device at say, it is 10am, all the steps taken prior to that are erased. Can be better."
PRASHANT K.,1.0 out of 5 stars,Dial is gud but strip is cheap material,Dial looking fabulous but strip is not orignal . looking cheap material . In sunshine beightnesss is good led is also gud. everything is better except strip is low quality. overall watch is nice to buy.
Johnson Global,1.0 out of 5 stars,AVOID - highly inaccurate and fake data being displayed.,"review after one month of use. Noisefit health app on android is light years behind the competition. App does not uninstall and takes days to install. Sleep data is highly inaccurate . Records sleep when awake and activity when sleeping. Syncing is a pain and requires phone and watch reboot which is painfully slow.Customer service is pathetic. Its a useless cheap toy with no brand, product nor service credibility."
Bhaswati Debnath,3.0 out of 5 stars,Overpriced for the features provided,"Firstly look-wise it is great. But featurewise its just average. It has a good touch screen, provides exercise tracking, sleep tracking, alarm, heart rate monitor etc. These features are also available in many other less costlier watches. There is no call support, sms support nor camera. You can get an alert when you recieve a call but only to decline it there is no option to recieve the call. Similarly for sms you can view the sms but cannot reply. There is a remote music player feature which I could not get to work. So I would say it is an average buy for this price."
Anmol Hon,1.0 out of 5 stars,Think twice before buying,I bought this watch on 28th April 2021 and it's display stopped working on 18th may 2021. It's interface is not that much catchy . I am not satisfied with the product.When I launched complained online about my display problem . They picked it and send it back to me after a week . But when received I found that my problem is as it is. Now launching complaint again. I am using Boat Smartwach MI smart band 4 from last few years so I know how to smart watch. Now I am really facing frustration about watch.
Niranjan Rao,5.0 out of 5 stars,Looks cool and attractive,"It's a very nice watch, looks cool. The white gray color is decent and stylish. Touch is a bit slow. Takes sometime to get used to the interface. Vibrations are very good.App shows proper information. Steps accuracy depends upon your stride setup, once set correctly, it works nicely. Heart rate readings seems decent, not sure of the accuracy.Bought it for wife as Diwali gift and she loves it."
ajith,1.0 out of 5 stars,Malfunctioning  of battery,"At first product was not working fine I make a refund of it, but as of now the product has not yet received and I has received different one so again I has retuned it waste company...Don't buy this"
